Title,Keyword,Keyword ID,Keyword Label,Position,Previous position,Last Seen,Search Volume,CPC,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Number of Results,Keyword Difficulty
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp certification,1,PMP,1,1,2024-12-31,90500,3.76,4253,22.77,15991,24.66,0.6,166000000,78.0
PMP® Exam & Certification | Confidently Ace The PMP Exam,pmp certification,1,PMP,1,1,2025-01-01,90500,3.76,4253,22.77,15991,24.66,0.6,172000000,78.0
PMP® Training & Exam | Special Offer: Get $400 Off,pmp certification,1,PMP,1,2,2025-01-14,90500,3.82,1176,6.29,4492,6.92,0.65,154000000,77.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,scrum master certification,3,Scrum Master,1,1,2025-01-10,18100,3.21,850,4.55,2728,4.2,0.64,32000000,70.0
PMP® Certification | Ace PMP Exam in 1st Attempt,pmp certification,1,PMP,3,3,2025-01-07,90500,3.82,814,4.35,3109,4.79,0.65,165000000,78.0
ITIL® 4 Certification Course | 100% Money Back Guarantee,itil certification,5,ITIL,1,1,2025-01-26,14800,2.33,695,3.72,1619,2.49,0.49,13700000,55.0
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp certification,1,PMP,4,4,2025-01-02,90500,3.76,633,3.39,2380,3.67,0.6,176000000,82.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master certification,3,Scrum Master,1,1,2025-01-17,9900,3.21,465,2.49,1492,2.3,0.64,44200000,50.0
Scrum Alliance CSM® Training | Flash Sale: Enroll @ $270,csm certification,3,Scrum Master,1,1,2024-12-28,9900,4.52,465,2.49,2101,3.24,0.43,51800000,57.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp certification,1,PMP,6,0,2025-01-26,90500,3.82,452,2.42,1726,2.66,0.65,155000000,70.0
Simplilearn PMP® Course | Special Offer: Get $400 Off,simplilearn,6,Simplilearn,1,1,2025-01-22,8100,2.31,380,2.03,877,1.35,0.14,4130000,52.0
Simplilearn® Courses | Online Certification Courses,simplilearn,6,Simplilearn,1,1,2025-01-25,8100,2.31,380,2.03,877,1.35,0.14,4880000,48.0
PMP® Certification Course,pmp certification requirements,1,PMP,1,0,2025-01-26,6600,2.37,310,1.66,734,1.13,0.59,162000000,54.0
CSM Scrum Master Course Online - Limited-time Offer: $270 Only,certified scrum master,3,Scrum Master,1,1,2025-01-07,5400,2.53,253,1.35,640,0.98,0.49,40200000,73.0
PMI Certified PMP® Training | Ace PMP Exam in 1st Attempt,pmi certification,1,PMP,1,1,2025-01-22,5400,3.35,253,1.35,847,1.3,0.59,48200000,45.0
PMP® Certification | Special Offer: Get $400 Off,project management certification,1,PMP,5,5,2024-12-31,49500,6.49,247,1.32,1603,2.47,0.68,978000000,76.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,scrum master certification,3,Scrum Master,2,2,2025-01-07,18100,3.21,235,1.25,754,1.16,0.64,16000000,70.0
